ed_id,ed_name,county,month,employment_rate,avg_income,unemployment_rate
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-01-01,0.8379,71280.0,0.1621
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-02-01,0.8379,71280.0,0.1621
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-03-01,0.8379,71280.0,0.1621
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-04-01,0.8379,71280.0,0.1621
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-05-01,0.8379,71280.0,0.1621
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-06-01,0.8379,71280.0,0.1621
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-07-01,0.8379,71280.0,0.1621
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-08-01,0.8379,71280.0,0.1621
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-09-01,0.8379,71280.0,0.1621
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-10-01,0.8379,71280.0,0.1621
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-11-01,0.8379,71280.0,0.1621
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-12-01,0.8379,71280.0,0.1621
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-01-01,0.8379,71280.0,0.1621
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-02-01,0.8379,71280.0,0.1621
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-03-01,0.8379,71280.0,0.1621
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-04-01,0.8379,71280.0,0.1621
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-05-01,0.8379,71280.0,0.1621
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-06-01,0.8379,71280.0,0.1621
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-07-01,0.8379,71280.0,0.1621
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-08-01,0.8379,71280.0,0.1621
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-09-01,0.8379,71280.0,0.1621
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-10-01,0.8379,71280.0,0.1621
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-11-01,0.8379,71280.0,0.1621
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-12-01,0.8379,71280.0,0.1621
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-01-01,0.8379,71280.0,0.1621
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-02-01,0.8379,71280.0,0.1621
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-03-01,0.8379,71280.0,0.1621
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-04-01,0.8379,71280.0,0.1621
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-05-01,0.8379,71280.0,0.1621
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-06-01,0.8379,71280.0,0.1621
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-07-01,0.8379,71280.0,0.1621
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-08-01,0.8379,71280.0,0.1621
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-09-01,0.8379,71280.0,0.1621
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-10-01,0.8379,71280.0,0.1621
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-11-01,0.8379,71280.0,0.1621
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-12-01,0.8379,71280.0,0.1621
DUB_ballsbridge,Ballsbridge,Dublin,2024-01-01,0.8379,71280.0,0.1621
DUB_ballsbridge,Ballsbridge,Dublin,2024-02-01,0.8379,71280.0,0.1621
DUB_ballsbridge,Ballsbridge,Dublin,2024-03-01,0.8379,71280.0,0.1621
DUB_ballsbridge,Ballsbridge,Dublin,2024-04-01,0.8379,71280.0,0.1621
DUB_ballsbridge,Ballsbridge,Dublin,2024-05-01,0.8379,71280.0,0.1621
DUB_ballsbridge,Ballsbridge,Dublin,2024-06-01,0.8379,71280.0,0.1621
DUB_ballsbridge,Ballsbridge,Dublin,2024-07-01,0.8379,71280.0,0.1621
DUB_ballsbridge,Ballsbridge,Dublin,2024-08-01,0.8379,71280.0,0.1621
DUB_ballsbridge,Ballsbridge,Dublin,2024-09-01,0.8379,71280.0,0.1621
DUB_ballsbridge,Ballsbridge,Dublin,2024-10-01,0.8379,71280.0,0.1621
DUB_ballsbridge,Ballsbridge,Dublin,2024-11-01,0.8379,71280.0,0.1621
DUB_ballsbridge,Ballsbridge,Dublin,2024-12-01,0.8379,71280.0,0.1621
DUB_drumcondra_south_a,Drumcondra South A,Dublin,2024-01-01,0.8379,71280.0,0.1621
DUB_drumcondra_south_a,Drumcondra South A,Dublin,2024-02-01,0.8379,71280.0,0.1621
DUB_drumcondra_south_a,Drumcondra South A,Dublin,2024-03-01,0.8379,71280.0,0.1621
DUB_drumcondra_south_a,Drumcondra South A,Dublin,2024-04-01,0.8379,71280.0,0.1621
DUB_drumcondra_south_a,Drumcondra South A,Dublin,2024-05-01,0.8379,71280.0,0.1621
DUB_drumcondra_south_a,Drumcondra South A,Dublin,2024-06-01,0.8379,71280.0,0.1621
