ed_id,ed_name,county,month,avg_monthly_rent,rent_growth_pct,rental_yield
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-01-01,3058.0,0.08,2.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-02-01,3088.0,0.08,2.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-03-01,3119.0,0.08,2.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-04-01,3149.0,0.08,2.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-05-01,3180.0,0.08,2.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-06-01,3210.0,0.08,2.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-07-01,3241.0,0.08,2.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-08-01,3272.0,0.08,2.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-09-01,3302.0,0.08,2.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-10-01,3333.0,0.08,2.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-11-01,3363.0,0.08,2.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-12-01,3394.0,0.08,2.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-01-01,3058.0,0.08,2.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-02-01,3088.0,0.08,2.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-03-01,3119.0,0.08,2.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-04-01,3149.0,0.08,2.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-05-01,3180.0,0.08,2.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-06-01,3210.0,0.08,2.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-07-01,3241.0,0.08,2.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-08-01,3272.0,0.08,2.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-09-01,3302.0,0.08,2.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-10-01,3333.0,0.08,2.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-11-01,3363.0,0.08,2.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-12-01,3394.0,0.08,2.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-01-01,3058.0,0.08,2.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-02-01,3088.0,0.08,2.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-03-01,3119.0,0.08,2.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-04-01,3149.0,0.08,2.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-05-01,3180.0,0.08,2.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-06-01,3210.0,0.08,2.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-07-01,3241.0,0.08,2.0
