ed_id,ed_name,county,month,traffic_volume,congestion_delay_minutes,avg_speed_kph
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-01-01,119000.0,39.7,50.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-02-01,119000.0,39.7,50.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-03-01,119000.0,39.7,50.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-04-01,119000.0,39.7,50.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-05-01,119000.0,39.7,50.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-06-01,119000.0,39.7,50.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-07-01,119000.0,39.7,50.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-08-01,119000.0,39.7,50.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-09-01,119000.0,39.7,50.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-10-01,119000.0,39.7,50.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-11-01,119000.0,39.7,50.0
DUB_rathmines_east_a,Rathmines East A,Dublin,2024-12-01,119000.0,39.7,50.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-01-01,119000.0,39.7,50.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-02-01,119000.0,39.7,50.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-03-01,119000.0,39.7,50.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-04-01,119000.0,39.7,50.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-05-01,119000.0,39.7,50.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-06-01,119000.0,39.7,50.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-07-01,119000.0,39.7,50.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-08-01,119000.0,39.7,50.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-09-01,119000.0,39.7,50.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-10-01,119000.0,39.7,50.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-11-01,119000.0,39.7,50.0
DUB_rathmines_west_c,Rathmines West C,Dublin,2024-12-01,119000.0,39.7,50.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-01-01,119000.0,39.7,50.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-02-01,119000.0,39.7,50.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-03-01,119000.0,39.7,50.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-04-01,119000.0,39.7,50.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-05-01,119000.0,39.7,50.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-06-01,119000.0,39.7,50.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-07-01,119000.0,39.7,50.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-08-01,119000.0,39.7,50.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-09-01,119000.0,39.7,50.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-10-01,119000.0,39.7,50.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-11-01,119000.0,39.7,50.0
DUB_pembroke_east_a,Pembroke East A,Dublin,2024-12-01,119000.0,39.7,50.0
DUB_ballsbridge,Ballsbridge,Dublin,2024-01-01,119000.0,39.7,50.0
